,year,title,authors
20849,1996,"Genetic programming using mutation, reproduction and genotype-phenotype mapping from linear binary genomes into linear lalr(1) phenotypes",Keller Robert E.
20850,1996,Genetic programming using genotypephenotype mapping from linear genomes into linear phenotypes,Keller Robert E.
20851,1999,The evolution of genetic code in genetic programming,Keller Robert E.
20852,1999,Cad surface reconstruction from digitized 3d point data with a genetic programming/evolution strategy hybrid,Keller Robert E.
20853,2003,Gossip-based computation of aggregate information,Kempe David
20854,2001,"Swarm Intelligence: Collective, Adaptive",Kennedy James
20855,1978,The C Programming Language,Kernighan Brian W.
20856,2005,Modeling water temperature using gene expression programming,Keskin M.E.
20857,2005,A study on distribution preservation mechanism in evolutionary multi-objective optimization,Khor Eik Fun
20858,1997,Heuristic algorithms for the terminal assignment problem,Khuri Sami
20859,1994,The zero/one multiple knapsack problem and genetic algorithms,Khuri Sami
20860,1996,Evolutionary programming-based highprecision controller design,Kim Jong-Hwan
20861,1995,Evolutionary programming-based optimal robust locomotion control of autonomous mobile robots,Kim Jong-Hwan
20862,1968,Evolutionary rate at the molecular level,Kimura Motoo
20863,1980,Markov Random Fields and Their Applications,Kindermann Ross
20864,1994,Fitness landscapes and difficulty in genetic programming,Kinnear Kenneth E.
20865,1983,Optimization by simulated annealing,Scott Kirkpatrick C.Daniel Gelatt
20866,1998,Proceedings of the National Academy of Science of the USA,Kirschner Marc
20867,1998,Mike Anderson,Kirsner Kim
20868,2003,Genetic algorithms for optimization of noisy fitness functions and adaptation to changing environments,Kita Hajime
20869,1998,Exploring the possibilities and restrictions of genetic programming in Java bytecode,Klahold Stefan
20870,1938,On notation for ordinal numbers,Kleene Stephen Cole
20871,1998,"Experimental design for sensitivity analysis, optimization, and validation of simulation models",Kleijnen Jack P.C.
20872,1982,Equivalence of relational algebra and relational calculus query languages having aggregate functions,Klug Anthony C.
20873,2003,Solving permutation problems with ordering messy genetic algorithms,Knjazew Dimitri
20874,2003,Properties of an adaptive archiving algorithm for storing nondominated vectors,Knowles Joshua D.
20875,1995,Remembering and knowing: two different expressions of declarative memory,Knowlton Barbara J.
20876,1964,Backus normal form vs. backus naur form,Knuth Donald E.
20877,1968,Semantics of context-free languages,Knuth Donald E.
20878,1971,Correction: Semantics of context-free languages,Knuth Donald E.
20879,1976,Big omicron and big omega and big theta,Knuth Donald E.
20880,1990,The genesis of attribute grammars,Knuth Donald E.
20881,1997,The Art of Computer Programming: Seminumerical Algorithms,Knuth Donald Ervin
20882,1997,Fundamental Algorithms,Knuth Donald Ervin
20883,1998,Sorting and Searching,Knuth Donald Ervin
20884,1997,Using genetic algorithms to design mesh networks,Ko King-Tim
20885,2005,Discovering multi-core: Extending the benefits of moore’s law,Koch Geoff
20886,2007,"Algorithmen und Programmierung (Course Material). TU Chemnitz, Fakultat fur Informatik, Professur Modellierung und Simulation, Straße der Nationen 62, 09107",Kochel Peter
20887,1997,Landscape ruggedness in evolutionary algorithms,Kolarov Krasimir
20888,1956,Foundations of the Theory of Probability. Chelsa Publishing Company New York,Kolmogorov Andrei Nikolajevich
20889,2007,Christian Igel,Konig Andreas
20890,2006,Clustering appearance for scene analysis,Koppal Sanjeev Jagannatha
20891,2001,Remarks on a recent paper on the “no free lunch” theorems,Koppen Mario
20892,2001,Genetic programming for grammar induction,Korkmaz Emin Erkan
20893,1985,Natural languages and the chomsky hierarchy,Kornai Andras
20894,2006,Real-parameter optimization using stigmergy,Korosec Peter
20895,2001,Human-based genetic algorithm,Kosorukoff Alex
20896,1998,"Xcs classifier system reliably evolves accurate, complete, and minimal representations for boolean functions",Kovacs Tim
20897,1999,The design of analog circuits by means of genetic programming,Koza John
20898,1989,Hierarchical genetic algorithms operating on populations of computer programs,Koza John R.
20899,1990,A hierarchical approach to learning the boolean multiplexer function,Koza John R.
20900,1990,Concept formation and decision tree induction using the genetic programming paradigm,Koza John R.
20901,1990,Evolution and co-evolution of computer programs to control independent-acting agents,Koza John R.
20902,1990,Genetic evolution and co-evolution of computer programs,Koza John R.
20903,1990,Genetically breeding populations of computer programs to solve problems in artificial intelligence,Koza John R.
20904,1990,The genetic programming paradigm: Genetically breeding populations of computer programs to solve problems,Koza John R.
20905,1991,Evolving a computer program to generate random numbers using the genetic programming paradigm,Koza John R.
20907,1994,Genetic Programming II: Automatic Discovery of Reusable Programs. Complex Adaptive Systems,Koza John R.
20908,1992,Genetic Programming: On the Programming of Computers by Means of Natural Selection. A Bradford Book,Koza John R.
20909,1995,Automatic discovery using genetic programming of an unknown-sized detector of protein motifs containing repeatedly-used subexpressions,Koza John R.
20910,1996,Classifying protein segments as transmembrane domains using architecture-altering operations in genetic programming,Koza John R.
20911,1990,Cart centering and broom balancing by genetically breeding populations of control strategy programs,Koza John R.
20912,1990,Genetic breeding of non-linear optimal control strategies for broom balancing,Koza John R.
20913,1991,Genetic generation of both the weights and architecture for a neural network,Koza John R.
20914,1992,Automatic programming of robots using genetic programming,Koza John R.
20915,1996,"Evolution of a low-distortion, low-bias 60 decibel op amp with good frequency generalization using genetic programming",Koza John R.
20916,1996,Use of automatically defined functions and architecture-altering operations in automated circuit synthesis using genetic programming,Koza John R.
20917,1998,Hitoshi Iba,Koza John R.
20918,1999,Genetic Programming III: Darwinian Invention and Problem Solving,Koza John R.
20919,2000,Automatic design of analog electrical circuits using genetic programming,Koza John R.
20920,2005,Genetic Programming IV: Routine Human-Competitive Machine Intelligence. Genetic Programming,Koza John R.
20921,1992,The Design and Analysis of Algorithms (Texts & Monographs in Computer Science,Kozen Dexter C.
20922,2008,"Self-Adaptive Heuristics for Evolutionary Computation, volume 147 of Studies in Computational Intelligence",Kramer Oliver
20923,2005,"A tutorial for competent memetic algorithms: model, taxonomy, and design issues",Krasnogor Natalio
20924,2001,Low-complexity fuzzy relational clustering algorithms for web mining,Krishnapuram R.
20925,2006,Handbuch der Java-Programmierung,Kruger Guido
20926,2007,Aruna Seneviratne,Krumm John
20927,1993,Genetic algorithm based approach for designing computer network topolgies,Kumar Anup
20928,2003,"Computational embryology: past, present and future",Kumar Sanjeev
20929,1998,Genetic algorithm based design of passive elements for vibration control,Kundu Sourav
20930,2002,Genetic algorithm application to vibration control of tall flexible structures,Kundu Sourav
20931,1990,A variant of evolution strategies for vector optimization,Kursawe Frank
20932,1998,Evolving a generalised behavior: Artificial ant problem revisited,Kuscu Ibrahim
20933,2005,Application of evolutionary algorithm on a transportation scheduling problem – the mass rapid transit,Kwan Chung Min
20934,1997,Driver scheduling using genetic algorithms with embedded combinatorial traits,Kwan Raymond S.K.
20935,1998,Parasitic power harvesting in shoes,Kymissis John
20936,1998,Convergence properties of the nelder-mead simplex method in low dimensions,Lagraias Jeffrey C.
20937,2007,An effective genetic algorithm for improving wireless sensor network lifetime,Lai Chih-Chung
20938,2007,An effective genetic algorithm to improve wireless sensor network lifetime for large-scale surveillance applications,Lai Chih-Chung
20939,1999,Mechanical engineering design optimization by differential evolution,Lampinen Jouni
20940,2000,On stagnation of the differential evolution algorithm,Lampinen Jouni
20941,1998,Genetic Programming and Data Structures: Genetic Programming + Data Structures = Automatic Programming! Genetic Programming,Langdon William B.
20942,2006,The halting probability in von Neumann architectures,Langdon William B.
20943,1998,Better trained ants for genetic programming,Langdon William B.
20944,1998,Fitness causes bloat: Mutation,Langdon William B.
20945,2002,Foundations of Genetic Programming,Langdon William B.
20946,2006,The halting probability in von neumann architectures,Langdon William B.
20947,1999,The evolution of size and shape,Langdon William B.
20948,2002,"The Roosevelt Hotel, 45th and Madison Avenue",Langdon William B.
20949,2008,Fisher’s Exact Test,Langsrud Øyvind
20950,2002,A shortterm temperature forecaster based on a state space neural network,Lanza Pedro A.Gonzalez
20951,1999,Extending the representation of classifier conditions part ii: From messy coding to s-expressions,Lanzi Pier Luca
20952,2000,A roadmap to the last decade of learning classifier system research (from 1989 to 1999,Lanzi Pier Luca
20953,2005,"Generalization in the xcsf classifier system: Analysis, improvement, and extension",Lanzi Pier Luca
20954,2006,"Generalization in the xcsf classifier system: Analysis, improvement, and extension",Lanzi Pier Luca
20955,2005,802.11 network intrusion detection using genetic programming,LaRoche Patrick
20956,2005,An algorithmic chemistry for genetic programming,Lasarczyk Christian W.G.
20957,2005,Total synthesis of algorithmic chemistries,Lasarczyk Christian W.G.
20958,2008,Threshold selecting: Best possible probability distribution for crossover selection in genetic algorithms,Lassig Jorg
20959,2000,A unified model for multiobjective evolutionary algorithms with elitism,Laumanns Marco
20960,2001,On the convergence and diversity-preservation properties of multi-objective evolutionary algorithms,Laumanns Marco
20961,1985,The Traveling Salesman Problem: A Guided Tour of Combinatorial Optimization,Lawler E.L.
20962,2000,Overfitting and neural networks: Conjugate gradient and backpropagation,Lawrence Steve
20963,1978,On the entropy of continuous probability distributions,Lazo A.C.G.Verdugo
20964,2001,ome sweet ’omics - a genealogical treasury of words,Lederberg Joshua
20965,2008,Statistical properties analysis of real world tournament selection in genetic algorithms,Lee S.
20966,2005,Evolutionary algorithms for the self-organized evolution of networks,Lehmann Katharina Anna
